level,start users,reach rate,reach rate delta,stall users,APU,win users APU,lose times per lose user,win rate,win user rate,lose user rate,lose rate,booster user percent,avg booster per booster user,retry af lose rate,revive_rate,ad imp per user,inter user percent,inter ad imp per inter user,rw imp per user,rw user percent,rw ad imp per rw user,ad revenue,iap user percent,IAP revenue,iap count,ARPU,acc_ARPU,revenue,drop users,drop rate,drop bf complete,drop af lose,drop af win,drop af lose APU,avg lose play time,avg win play time,avg play time
0,5058,1.0,0.01759588770264927,89,1.0043495452748121,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,42,0.008306962025316455,1.0,0.0,0.0,,0.0,0.0,0.0
1,4969,0.9824041122973507,0.022538552787663108,114,1.0165023143489635,1.0149010002041232,0.9999996666667778,0.9699068502272763,0.985912658482592,0.0006037432078889113,0.000593941793704217,0.0,0.0,0.9999996666667778,0.0,0.0,0.0,,0.0,0.0,,0.7516363871612561,0.0,0.0,0,0.00015126512118358949,0.00015126512118358949,0.7516363871612561,89,0.017918260519428228,0.5842696629213483,0.0,0.4157303370786517,,3744.3332085222264,21.76444172235631,32.09873520946351
2,4855,0.9598655595096877,0.025108738631870305,127,1.0327497425334706,1.0298850574712644,0.99999950000025,0.9543277854319532,0.9855818743563337,0.00041194644696189496,0.00039888312724371757,0.9942327497425335,1.0184379531589303,0.99999950000025,0.0,0.00659114315125456,0.0,,0.006591143151390319,0.006385169927909372,1.032258064516129,14.77199551938814,0.0,0.0,0,0.0030426355343744884,0.003193900655558078,14.77199551938814,117,0.024108798681228106,0.5555555555555556,0.0,0.4444444444444444,,4098.999795050011,59.857680249532756,69.81470649530364
3,4728,0.9347568208778173,0.036971134835903516,187,1.0414551607445008,1.0383033975330016,1.0714284948979647,0.9384645681525405,0.9773688663282571,0.002961082910321489,0.0030463038180341185,0.008248730964467006,1.3076923043392505,0.9285713622449028,0.005077173030056864,0.007614213197808499,0.0,,0.007614213197969543,0.005287648054145516,1.44,18.45960805701968,0.0,0.0,0,0.0039043164249195597,0.007098217080477637,18.45960805701968,175,0.03702920016927634,0.5371428571428571,0.005714285714285714,0.45714285714285713,1.0,711.0666619262223,156.28543604942035,202.5248058627583
4,4541,0.8977856860419138,0.045670225385527875,231,1.0433825148645672,1.0412300683371298,0.9999998333333611,0.9265511930088168,0.9667474124642149,0.0013212948689715921,0.001266357112705783,0.9841444615723409,1.013649586014463,0.9999998333333611,0.0,0.0035234529838466537,0.0,,0.0035234529839242457,0.0035234529839242457,1.0,11.15356881805539,0.0,0.0,0,0.0024561922083363554,0.009554409288813993,11.15356881805539,213,0.046926635822868476,0.6338028169014085,0.0,0.36619718309859156,,5535.666574405557,232.30774486942352,267.6951774279414
5,4310,0.8521154606563859,0.08521154606563859,431,1.069141531322506,1.0647550776583035,1.3432835620405439,0.9082030333519074,0.9709976798143851,0.015545243619489559,0.01953125,0.016937354988399073,1.0684931492212424,0.9104477476052575,0.009331597222222222,0.46914153131162084,0.34129930394431557,1.0108769544527532,0.12412993039443156,0.11925754060324827,1.0408560311284047,382.26813288044156,0.001624129930017603,72.00286032133131,7,0.10539930236700067,0.11495371165581467,454.27099320177285,391,0.09076137418755803,0.27365728900255754,0.02557544757033248,0.7007672634271099,2.1,2734.977774738914,362.97634407734824,438.337309931267
6,3879,0.7669039145907474,0.06722024515618821,340,1.054137664346481,1.0477326968973748,1.3255813645213637,0.9222302753883931,0.9721577726218097,0.01108533127094612,0.013939838591342627,0.9876256767208044,1.0214043330456433,0.9767441633315311,0.0046466128637808754,0.4050012889815674,0.3065222995617427,1.0218671152228764,0.09177623098736788,0.0897138437741686,1.0229885057471264,273.58463441868537,0.0007733952047503492,23.97,3,0.07670910915666032,0.191662820812475,297.5546344186854,306,0.07890665291387312,0.3006535947712418,0.00980392156862745,0.6895424836601307,4.333333333333333,4823.6491143444755,433.95359319984215,533.1951410519019
7,3539,0.6996836694345591,0.06524317912218268,330,1.090703588584346,1.0801762114537445,1.1797752676429745,0.882124255892115,0.9621361966657248,0.025148346990675332,0.027202072538860103,0.04605820853348404,1.1288343551356845,0.9775280789041789,0.022020725388601035,0.4238485447746864,0.3133653574456061,1.0351668169522092,0.09946312517660356,0.09183385137044363,1.083076923076923,250.02219678796402,0.0,0.0,0,0.07064769618196214,0.26231051699443714,250.02219678796402,296,0.08366308648954211,0.3547297297297297,0.033783783783783786,0.6114864864864865,2.5,2283.123807349406,631.2108663544432,760.2883190666585
8,3209,0.6344404903123765,0.051403716884143934,260,1.0828918666251168,1.078879587894398,1.1704545321539257,0.8938128454692943,0.9679027734496728,0.027422873169211593,0.02964028776978417,0.984730445621689,1.056645569586815,0.9659090799328514,0.019280575539568346,0.40978497973169886,0.3122468058585229,1.0399201596806387,0.08507323153630414,0.07946400747896541,1.0705882352941176,216.82321918955793,0.0,0.0,0,0.06756722318153878,0.32987774017597593,216.82321918955793,219,0.06826683291770573,0.3378995433789954,0.0273972602739726,0.634703196347032,1.6666666666666667,1433.9126199670752,855.7678686137873,1010.1586163599203
9,2949,0.5830367734282325,0.05852115460656386,296,1.1156324177687351,1.1070422535211268,1.3388429641417938,0.8632217824336555,0.9630383180739234,0.041030857917938285,0.049240121580547115,0.06544591386910817,1.1347150253188005,0.9504132152858412,0.03130699088145897,0.9599864360474742,0.8219735503560529,1.0313531353135315,0.11224143777551712,0.09596473380807054,1.1696113074204948,494.1050999919575,0.0,0.0,0,0.1675500508619727,0.49742779103794865,494.1050999919575,275,0.09328358208955224,0.2581818181818182,0.04727272727272727,0.6945454545454546,2.769230769230769,2768.1975291554336,904.9669013765857,1093.1632244805742
10,2655,0.5249110320284698,0.08738631870304468,442,1.7220338983050847,1.640893470790378,1.9469964629911722,0.5091863098306972,0.8768361581920904,0.21318267419962336,0.2410323709536308,0.37815442561205276,1.489043824552884,0.9611307403513591,0.10936132983377078,1.2610169491050465,0.7499058380414313,1.1672526368658966,0.3856873822975518,0.24030131826741996,1.6050156739811912,553.7454826044723,0.0015065913365323574,31.950000000000003,5,0.22060093506759787,0.7180287261055465,585.6954826044723,364,0.13709981167608287,0.4697802197802198,0.23901098901098902,0.29120879120879123,3.5977011494252875,2462.270417199431,1427.4553263991643,2212.3212827343345
11,2213,0.4375247133254251,0.025108738631870305,127,1.0890194306371441,1.086357372531006,1.1690140680420553,0.903319372011692,0.9837324898328061,0.032083145051965654,0.03443983402489627,0.0596475372797108,1.1893939384928833,0.985915479071613,0.01784232365145228,0.967464979621895,0.8192498870311794,1.036403750689465,0.1183913239945775,0.10664256665160415,1.1101694915254237,329.83904293595447,0.0013556258466535809,33.96,4,0.16439179527155645,0.8824205213771029,363.79904293595445,119,0.05377315860822413,0.16806722689075632,0.01680672268907563,0.8151260504201681,2.0,3944.975898861475,1251.6743224046086,1430.5561946269665
12,2089,0.41300909450375645,0.030249110320284697,153,1.1685016754427957,1.1643768400392542,1.2624113385644586,0.8349036123730353,0.9755864049784586,0.06749640976543801,0.07292093404342483,0.11871708951651508,1.141129031797932,0.9645390002514964,0.029086439983613273,1.033508855862446,0.7989468645284825,1.067106051527861,0.18094782192436573,0.15318334131163236,1.18125,311.23597686884216,0.0004786979413696994,4.99,1,0.15137672420720066,1.0337972455843036,316.22597686884217,131,0.0627094303494495,0.24427480916030533,0.04580152671755725,0.7099236641221374,2.1666666666666665,3029.1910095341623,1352.868007784452,1637.6475631029944
13,1938,0.3831553973902728,0.03163305654408857,160,1.1140350877192982,1.1064618644067796,1.227848085723442,0.874478794195864,0.9742002063983488,0.04076367389060888,0.04492820750347383,0.06707946336429309,1.1461538452721893,0.9873417596539018,0.018990273274664196,0.9561403508278565,0.7966976264189887,1.0382124352331605,0.12899896800825594,0.11558307533539731,1.1160714285714286,259.501989090516,0.0,0.0,0,0.13390195515506503,1.1676992007393687,259.501989090516,116,0.05985552115583075,0.23275862068965517,0.02586206896551724,0.7413793103448276,2.6666666666666665,4263.391748182071,1392.52489399404,1642.7078084814757
14,1779,0.3517200474495848,0.017398181099248716,88,1.1326587970770094,1.1276718659734257,1.2173912911153122,0.8590569359607134,0.9730185497470489,0.05171444631815627,0.055583126550868486,0.08600337268128162,1.0980392149686018,0.9673912938327034,0.027791563275434243,0.9966273186623593,0.8234963462619449,1.0627986348122866,0.12141652613827993,0.10792580101180438,1.125,238.72473973952194,0.001124227093241019,13.02299062441924,2,0.14151080964808385,1.3092100103874527,251.74773036394117,93,0.05227655986509275,0.3010752688172043,0.043010752688172046,0.6559139784946236,1.5,1521.2946414988442,1356.6764875010585,1484.336407949846
15,1693,0.3347172795571372,0.05081059707394227,257,2.015948021264028,1.8721399730820996,2.310096148293038,0.4353940422894899,0.8777318369757826,0.24571766095688127,0.2815704658658072,0.4536326048434731,1.4531249998107911,0.961538459227071,0.08702021681804864,1.5764914352287955,0.7406969875959835,1.4003189792663477,0.5392793857058477,0.3390431187241583,1.5905923344947734,395.3883618236564,0.0,0.0,0,0.23354303710788918,1.542753047495342,395.3883618236564,192,0.11340815121086828,0.4375,0.328125,0.234375,4.476190476190476,2720.6472421726694,1872.7786001431507,2866.1859418526283
16,1436,0.28390668248319495,0.013444049031237644,68,1.0828690807799444,1.0783898305084745,1.1228069978454913,0.910610766164979,0.9860724233983287,0.03969359331476323,0.041157556270096464,0.0403899721448468,1.103448273959572,0.9649122637734691,0.010932475884244373,0.9261838439466445,0.7827298050139275,1.0338078291814947,0.116991643454039,0.1107242339832869,1.0566037735849056,173.16314451011468,0.0006963788295986219,7.99,1,0.12615121483991273,1.6689042623352546,181.15314451011469,50,0.034818941504178275,0.1,0.04,0.86,2.5,4613.343742791651,1926.0218925193487,2104.1493241821518
17,1369,0.27066034005535783,0.013444049031237644,68,1.2008765522279037,1.1790820165537998,1.3448275707491084,0.8083940229012613,0.970781592403214,0.0635500365230095,0.07116788321167883,0.13513513513513514,1.216216215558802,0.9770114830228566,0.04683698296836983,1.0233747260026753,0.7859751643535428,1.0594795539033457,0.19065010956902848,0.15924032140248356,1.1972477064220184,191.25969378619237,0.0021913805681582316,18.002257736001745,3,0.15285752485185838,1.821761787187113,209.26195152219412,58,0.042366691015339665,0.2413793103448276,0.06896551724137931,0.6896551724137931,4.0,3711.2051250331583,1956.1625280695137,2504.5767633122696
18,1304,0.25780941083432185,0.0387504942665085,196,2.4401840490797544,2.1023131672597866,2.844444437421125,0.35323692736010215,0.8619631901840491,0.31058282208588955,0.3620364550597109,0.522239263803681,1.5785609395626197,0.9358024668251791,0.09679446888749214,1.8788343556841383,0.7269938650306749,1.6339662447257384,0.6909509202453987,0.38190184049079756,1.8092369477911647,340.1263245009897,0.0007668711650560804,4.99,1,0.2646597580529062,2.086421545240019,345.1163245009897,146,0.11196319018404909,0.4452054794520548,0.4041095890410959,0.1506849315068493,6.440677966101695,3166.476562225132,2540.31316703378,3843.230228302143
19,1108,0.21905891656781337,0.01383946223803875,70,1.5776173285198556,1.5316698656429943,1.8312499885546876,0.5961097555840335,0.9404332129963899,0.1444043321299639,0.16762013729977115,0.33935018050541516,1.449468084720886,0.9687499939453126,0.07665903890160183,1.4413357399421176,0.7527075812274369,1.2050359712230216,0.5342960288808665,0.3249097472924188,1.6444444444444444,201.22504963656002,0.0018050541499954383,10.012257736001747,2,0.19064738932541675,2.2770689345654356,211.23730737256176,64,0.05776173285198556,0.453125,0.171875,0.375,4.0,3330.09556200338,2945.2984642087044,3749.4456926030375
20,1042,0.20601028074337682,0.042902332937920125,217,3.785988483685221,3.156359393232205,4.7231920081715915,0.21723699538071892,0.8224568138195777,0.3848368522072937,0.4801013941698352,0.6852207293666027,2.0840336131534967,0.9376558580108333,0.10899873257287707,3.014395393184799,0.710172744721689,2.2932432432432432,1.3857965451055663,0.5834932821497121,2.375,374.45996595357207,0.005758157384109253,33.99570148596625,6,0.3919920033009005,2.669060937866336,408.45566743953833,114,0.10940499040307101,0.38596491228070173,0.47368421052631576,0.14035087719298245,10.88888888888889,3980.978880465629,3883.880979710166,5349.47037421485
21,826,0.16330565440885725,0.006128904705417161,31,1.0544794188861986,1.049140049140049,0.99999990000001,0.934557740061566,0.9854721549636803,0.012106537530266344,0.011481056257175661,0.04116222760290557,1.0588235262975778,0.8999999100000091,0.009184845005740528,0.9818401935857337,0.8401937046004843,1.0187319884726225,0.12590799031476999,0.11016949152542373,1.1428571428571428,94.77615191091031,0.0,0.0,0,0.114741104008366,2.783802041874702,94.77615191091031,20,0.024213075060532687,0.25,0.05,0.7,2.0,17783.299822167002,3694.9324319785096,4058.099514070619
22,795,0.1571767497034401,0.005931198102016607,30,1.090566037735849,1.0888030888030888,1.1333332955555568,0.8961935473194927,0.9773584905660377,0.03773584905660377,0.0392156862745098,0.09182389937106918,1.0684931492212424,0.9999999666666678,0.020761245674740483,0.9874213835235949,0.7786163522012579,1.0436187399030694,0.17484276729559747,0.1559748427672956,1.1209677419354838,93.00803130483379,0.0,0.0,0,0.11699123434570288,2.900793276220405,93.00803130483379,21,0.026415094339622643,0.47619047619047616,0.09523809523809523,0.42857142857142855,2.0,4187.058811214532,3488.0604886115752,3599.816275758346
23,765,0.1512455516014235,0.004547251878212732,23,1.2679738562091503,1.2635135135135136,1.3421052454986153,0.7628864343501254,0.9673202614379085,0.09934640522875816,0.10515463917525773,0.23137254901960785,1.2090395473395257,0.9736841977146816,0.042268041237113405,1.1908496730469478,0.7633986928104575,1.1095890410958904,0.3437908496732026,0.269281045751634,1.2766990291262137,115.03262670303897,0.002614379081549831,16.98,2,0.1725655251020117,3.0733588013224167,132.01262670303896,26,0.03398692810457516,0.5769230769230769,0.07692307692307693,0.34615384615384615,2.0,4507.3627406790565,3768.7108103015257,4228.676959117734
24,743,0.14689600632661132,0.006919731119019375,35,1.613728129205922,1.5911680911680912,1.8309859025986908,0.5854878079495103,0.9448183041722745,0.1911170928667564,0.21684737281067556,0.36473755047106327,1.461254612006917,0.9788732325431463,0.0884070058381985,1.555854643128418,0.7725437415881561,1.21602787456446,0.6164199192462988,0.3835800807537012,1.6070175438596492,143.4863775115567,0.0,0.0,0,0.1931176009576806,3.266476402280097,143.4863775115567,25,0.033647375504710635,0.52,0.32,0.16,3.5,4056.4961522859626,3981.1809111137923,4396.010394553429
25,710,0.14037168841439304,0.019572953736654804,99,2.0211267605633805,1.9163987138263665,2.565217372715816,0.43344941875317966,0.8760563380281691,0.19436619718309858,0.24668989547038328,0.543661971830986,1.7305699477381942,0.9710144857172863,0.11358885017421602,1.86478873213172,0.6830985915492958,1.3010309278350516,0.976056338028169,0.5056338028169014,1.9303621169916434,162.9458191471429,0.005633802808966475,41.96,4,0.2885997452776661,3.555076147557763,204.90581914714292,58,0.08169014084507042,0.6896551724137931,0.1206896551724138,0.1896551724137931,6.0,5553.096043629069,4525.159163259621,6698.761269805455
26,611,0.12079873467773823,0.0039541320680110716,20,1.1423895253682488,1.140728476821192,1.1999999657142868,0.8653292897431631,0.9885433715220949,0.057283142389525366,0.06017191977077364,0.11292962356792144,1.1304347809703845,0.9714285436734702,0.03008595988538682,1.0376432076861468,0.8150572831423896,1.0481927710843373,0.18330605564648117,0.15548281505728315,1.1789473684210525,64.94691216468885,0.0,0.0,0,0.10629609192256768,3.6613722394803307,64.94691216468885,14,0.022913256955810146,0.14285714285714285,0.07142857142857142,0.7857142857142857,2.0,4908.8809406931405,4360.074502589392,4599.6919497523695
27,595,0.11763542902332938,0.0015816528272044287,8,1.203361344537815,1.1938250428816466,1.2121211753902674,0.8142456076316785,0.9798319327731092,0.05546218487394958,0.055865921787709494,0.15630252100840336,1.3118279555786796,0.969696940312214,0.03910614525139665,1.089075630069063,0.773109243697479,1.067391304347826,0.2638655462184874,0.20336134453781513,1.2975206611570247,64.19454120854972,0.0016806722660829038,4.99,1,0.11627653984630204,3.7776487793266327,69.18454120854972,17,0.02857142857142857,0.29411764705882354,0.11764705882352941,0.5882352941176471,3.0,7102.924982242687,4713.3653508210355,5546.820223828761
28,592,0.11704230921312772,0.010873863187030448,55,2.7010135135135136,2.531073446327684,3.02617799462734,0.3320825144197811,0.8969594594594594,0.32263513513513514,0.3614759224515322,0.6452702702702703,1.7931937168080643,0.9790575864970807,0.11694809255784866,2.293918918531433,0.714527027027027,1.5933806146572105,1.1554054054054055,0.589527027027027,1.9598853868194843,142.58241809351986,0.0016891891863358292,4.99,1,0.24927773326608085,4.026926512592714,147.57241809351987,30,0.05067567567567568,0.5,0.4,0.1,6.666666666666667,5079.200691162769,4841.981166696426,6833.741207679554
29,538,0.10636615262949782,0.006524317912218268,33,1.436802973977695,1.4104046242774566,1.9259258902606318,0.6714099481096617,0.9646840148698885,0.10037174721189591,0.13454075032341525,0.3996282527881041,1.4604651155997836,0.9444444269547329,0.10996119016817593,1.4460966540063018,0.7379182156133829,1.0831234256926952,0.6468401486988847,0.4070631970260223,1.5890410958904109,89.20185973369054,0.0018587360560246543,9.99,1,0.18437148649384857,4.211297999086562,99.19185973369053,19,0.03531598513011153,0.3157894736842105,0.21052631578947367,0.47368421052631576,4.75,3792.817304045368,4835.842002921803,5495.163723034484
30,505,0.09984183471727956,0.004744958481613286,24,1.401980198019802,1.4,1.437499977539063,0.6850280966816227,0.9603960396039604,0.12673267326732673,0.12994350282485875,0.33861386138613864,1.4327485371738313,0.9999999843750003,0.1059322033898305,1.3821782175480835,0.7465346534653465,1.1087533156498675,0.5544554455445545,0.3504950495049505,1.5819209039548023,72.37089006857406,0.0,0.0,0,0.14330869320509715,4.354606692291659,72.37089006857406,17,0.033663366336633666,0.47058823529411764,0.0,0.5294117647058824,,6378.478253936437,4830.678349519448,5901.4142104157
