level,reach_rate
0,1.0
1,0.9823797267867749
2,0.9598099386260146
3,0.9348643832904375
4,0.8978420114828747
5,0.8523064739655514
6,0.767174816867947
7,0.699861413581469
8,0.6347257968719066
9,0.5832508414175411
10,0.5254405068303306
11,0.4377351019600079
12,0.41338348841813505
13,0.38348841813502277
14,0.35200950306869927
15,0.3351811522470798
16,0.2843001385864185
17,0.27103543852702433
18,0.258166699663433
19,0.21936250247475747
20,0.2060978024153633
21,0.16353197386656107
22,0.1573945753316175
23,0.15145515739457532
24,0.1470995842407444
25,0.14056622450999803
26,0.12096614531775886
27,0.11779845575133636
28,0.11720451395763215
29,0.10651356167095624
30,0.09998020194020986
31,0.09562462878637894
32,0.09265491981785785
33,0.09146703623044941
34,0.08513165709760444
35,0.08117204513957632
36,0.07483666600673133
37,0.07305484062561869
38,0.07226291823401307
39,0.07008513165709761
40,0.06830330627598495
41,0.06652148089487231
42,0.062957830132647
43,0.060978024153632945
44,0.05899821817461889
45,0.05840427638091467
46,0.05484062561868937
47,0.054444664422886556
48,0.05187091665016828
49,0.050089091269055634
50,0.04929716887745001
51,0.045931498713126115
52,0.04494159572361908
53,0.04315977034250643
54,0.04078400316768957
55,0.041575925559295186
56,0.039398138982379725
57,0.04019006137398535
58,0.03880419718867551
59,0.03781429419916848
60,0.03444862403484458
61,0.03365670164323896
62,0.03246881805583053
63,0.03207285686002772
64,0.03167689566422491
65,0.03108295387052069
66,0.028113244901999603
67,0.027915264304098197
68,0.026727380716689765
69,0.026133438922985548
70,0.025737477727182736
71,0.023163729954464463
72,0.022965749356563057
73,0.022173826964957434
74,0.021975846367056028
75,0.021183923975450405
76,0.019996040388041973
77,0.019798059790140567
78,0.019996040388041973
79,0.019402098594337756
80,0.01920411799643635
81,0.01821421500692932
82,0.01821421500692932
83,0.018610176202732132
84,0.01781825381112651
85,0.017026331419520885
86,0.017026331419520885
87,0.017026331419520885
88,0.01682835082161948
89,0.01682835082161948
90,0.016234409027915266
91,0.01603642843001386
92,0.01603642843001386
93,0.016234409027915266
94,0.01643238962581667
95,0.01643238962581667
96,0.015244506038408236
97,0.01504652544050683
98,0.014452583646802613
99,0.014650564244704019
100,0.014452583646802613
